asset_pair,wsname,asset,currency,time,tmsp,open_price,close_price,volume
ADAEUR,ADA/EUR,ADA,EUR,2019-08-20 02:00:00,1566259200,0.04506,0.044385,1437752.65339543
ADAEUR,ADA/EUR,ADA,EUR,2019-08-21 02:00:00,1566345600,0.04432,0.042481,3985095.24662273
ADAEUR,ADA/EUR,ADA,EUR,2019-08-22 02:00:00,1566432000,0.042679,0.044668,5254478.92275829
ADAEUR,ADA/EUR,ADA,EUR,2019-08-23 02:00:00,1566518400,0.0445,0.044811,3141530.38921571
ADAEUR,ADA/EUR,ADA,EUR,2019-08-24 02:00:00,1566604800,0.044766,0.045346,3047541.12706304
ADAEUR,ADA/EUR,ADA,EUR,2019-08-25 02:00:00,1566691200,0.045211,0.0445,4167423.8531151
ADAEUR,ADA/EUR,ADA,EUR,2019-08-26 02:00:00,1566777600,0.044436,0.044774,3478855.08203219
ADAEUR,ADA/EUR,ADA,EUR,2019-08-27 02:00:00,1566864000,0.044633,0.04493,2175274.86647468
ADAEUR,ADA/EUR,ADA,EUR,2019-08-28 02:00:00,1566950400,0.044829,0.041614,4524958.27175252
ADAEUR,ADA/EUR,ADA,EUR,2019-08-29 02:00:00,1567036800,0.041366,0.040315,5950288.25642227
ADAEUR,ADA/EUR,ADA,EUR,2019-08-30 02:00:00,1567123200,0.040323,0.040701,7275445.85829197
ADAEUR,ADA/EUR,ADA,EUR,2019-08-31 02:00:00,1567209600,0.040755,0.040893,1334533.2875014
ADAEUR,ADA/EUR,ADA,EUR,2019-09-01 02:00:00,1567296000,0.040892,0.040558,2232088.9100617
ADAEUR,ADA/EUR,ADA,EUR,2019-09-02 02:00:00,1567382400,0.040546,0.041402,3382124.71261993
ADAEUR,ADA/EUR,ADA,EUR,2019-09-03 02:00:00,1567468800,0.04121,0.042678,5889667.01532748
ADAEUR,ADA/EUR,ADA,EUR,2019-09-04 02:00:00,1567555200,0.042496,0.041229,4806968.41253122
ADAEUR,ADA/EUR,ADA,EUR,2019-09-05 02:00:00,1567641600,0.041316,0.040254,2663650.33729375
ADAEUR,ADA/EUR,ADA,EUR,2019-09-06 02:00:00,1567728000,0.04021,0.040068,5736475.04953983
ADAEUR,ADA/EUR,ADA,EUR,2019-09-07 02:00:00,1567814400,0.040138,0.041608,3591757.42290122
ADAEUR,ADA/EUR,ADA,EUR,2019-09-08 02:00:00,1567900800,0.041765,0.042327,2987812.79815839
ADAEUR,ADA/EUR,ADA,EUR,2019-09-09 02:00:00,1567987200,0.04237,0.04255,4477993.5253827
ADAEUR,ADA/EUR,ADA,EUR,2019-09-10 02:00:00,1568073600,0.042449,0.042131,4221470.42808869
ADAEUR,ADA/EUR,ADA,EUR,2019-09-11 02:00:00,1568160000,0.042314,0.040669,5551131.31954138
ADAEUR,ADA/EUR,ADA,EUR,2019-09-12 02:00:00,1568246400,0.040835,0.041201,1971399.92580896
ADAEUR,ADA/EUR,ADA,EUR,2019-09-13 02:00:00,1568332800,0.041138,0.041428,1305660.60235481
ADAEUR,ADA/EUR,ADA,EUR,2019-09-14 02:00:00,1568419200,0.041456,0.042128,1915495.16776208
ADAEUR,ADA/EUR,ADA,EUR,2019-09-15 02:00:00,1568505600,0.042128,0.042124,1587738.5191866
ADAEUR,ADA/EUR,ADA,EUR,2019-09-16 02:00:00,1568592000,0.04227,0.042798,3811402.680581
ADAEUR,ADA/EUR,ADA,EUR,2019-09-17 02:00:00,1568678400,0.042798,0.044278,6783884.8856413
ADAEUR,ADA/EUR,ADA,EUR,2019-09-18 02:00:00,1568764800,0.044231,0.048264,13985549.96097486
ADAEUR,ADA/EUR,ADA,EUR,2019-09-19 02:00:00,1568851200,0.048136,0.047393,11209975.91333176
ADAEUR,ADA/EUR,ADA,EUR,2019-09-20 02:00:00,1568937600,0.047448,0.047453,3154215.59052895
ADAEUR,ADA/EUR,ADA,EUR,2019-09-21 02:00:00,1569024000,0.04767,0.047134,2694210.15900549
ADAEUR,ADA/EUR,ADA,EUR,2019-09-22 02:00:00,1569110400,0.046843,0.0449,5895866.15031697
ADAEUR,ADA/EUR,ADA,EUR,2019-09-23 02:00:00,1569196800,0.044563,0.042036,8235043.83289584
ADAEUR,ADA/EUR,ADA,EUR,2019-09-24 02:00:00,1569283200,0.042107,0.034127,21445740.85542004
ADAEUR,ADA/EUR,ADA,EUR,2019-09-25 02:00:00,1569369600,0.034136,0.035797,11366167.59716749
ADAEUR,ADA/EUR,ADA,EUR,2019-09-26 02:00:00,1569456000,0.035876,0.034694,11812185.38007051
